Date,Attention Score
2021-05-22 22:00:00,0.6869047619
2021-05-23 22:00:00,0.7107142857
2021-05-24 22:00:00,0.6035714286
2021-05-25 22:00:00,-0.1964285714
2021-05-26 22:00:00,1.4761904762
2021-05-27 22:00:00,2.4335839599
2021-05-28 22:00:00,2.3111349803
2021-05-29 22:00:00,2.5492302184
2021-05-30 22:00:00,2.3825635517
2021-05-31 22:00:00,3.596849266
2021-06-01 22:00:00,3.5809762501
2021-06-02 22:00:00,1.0155000597
2021-06-03 22:00:00,1.0104875283
2021-06-04 22:00:00,1.1329365079
2021-06-05 22:00:00,0.9900793651
2021-06-06 22:00:00,1.0853174603
2021-06-07 22:00:00,0.0853174603
2021-06-08 22:00:00,0.4226190476
2021-06-09 22:00:00,0.4956709957
2021-06-10 22:00:00,0.9848484848
2021-06-11 22:00:00,0.8777056277
2021-06-12 22:00:00,1.091991342
2021-06-13 22:00:00,1.2260049474
2021-06-14 22:00:00,0.9726035869
2021-06-15 22:00:00,0.5531357998
2021-06-16 22:00:00,1.0481192477
2021-06-17 22:00:00,0.5525835334
2021-06-18 22:00:00,0.4923809436
2021-06-19 22:00:00,0.2757142769
2021-06-20 22:00:00,0.3287755014
2021-06-21 22:00:00,0.6204421681
2021-06-22 22:00:00,0.481175906
2021-06-23 22:00:00,0.312468423
2021-06-24 22:00:00,0.2068986952
2021-06-25 22:00:00,0.3627645503
2021-06-26 22:00:00,0.2937169312
2021-06-27 22:00:00,0.3055228502
2021-06-28 22:00:00,0.12289298
2021-06-29 22:00:00,0.1904666762
2021-06-30 22:00:00,0.2448884449
2021-07-01 22:00:00,0.4039442039
2021-07-02 22:00:00,0.3373958455
2021-07-03 22:00:00,0.2977133058
2021-07-04 22:00:00,0.2691418772
2021-07-05 22:00:00,0.2392717473
2021-07-06 22:00:00,0.280768346
2021-07-07 22:00:00,-0.0216126064
2021-07-08 22:00:00,-0.0004485852
2021-07-09 22:00:00,0.0890589569
2021-07-10 22:00:00,0.0913265306
2021-07-11 22:00:00,0.1270408163
2021-07-12 22:00:00,-0.0189909297
2021-07-13 22:00:00,-0.0325963719
2021-07-14 22:00:00,0.3126417234
2021-07-15 22:00:00,1.2565192744
2021-07-16 22:00:00,1.2962018141
2021-07-17 22:00:00,1.1848845599
2021-07-18 22:00:00,1.4110750361
2021-07-19 22:00:00,1.4244537209
2021-07-20 22:00:00,1.4164141414
2021-07-21 22:00:00,1.0867438117
2021-07-22 22:00:00,0.1065850816
2021-07-23 22:00:00,-0.0402403152
2021-07-24 22:00:00,0.1323014287
2021-07-25 22:00:00,-0.272460476
2021-07-26 22:00:00,-0.2540931291
2021-07-27 22:00:00,-0.1848290598
2021-07-28 22:00:00,-0.1408730159
